390.1,144.38
906.7,822.7
345.29,102.79
721.05,10.159
645.3,351.94
580.06,280.23
942.03,493.5
610.92,304.1
434.04,105.72
539.06,868.43
890.32,922.47
504.62,107.12
475.85,776.51
639.96,806.81
86.753,960.72
56.972,206.37
340.36,924.85
759,909.62
791.05,735.26
111.02,460.89
354.22,30.075
240.18,49.814
57.601,253.42
677.72,494.22
743.88,60.249
797.6,724.76
883.44,834.54
684.33,484.27
733.47,421.58
850.48,625.62
23.429,653.31
918.14,149.78
454.45,792.14
825.37,818.48
838.08,79.849
894.85,797.83
285.05,385.2
128.92,428.76
32.765,378.33
935.01,350.64
767.31,497.48
831.54,48.995
147.2,426.4
726.07,530.74
717.21,846.4
389.56,277.61
597.83,25.673
382.53,298.91
654.78,49.252
708.73,105.09
418.09,136.41
414.76,668.75
349.41,689.48
787.18,349.3
113.76,957.56
680.62,15.572
921.88,178.36
812.21,844.58
213.08,899.92
611.25,860.72
638.43,834.61
575.11,1019.2
363.87,359.65
188.5,247.99
290.91,516.89
679.39,721.3
568.1,431.14
321,183.21
854.73,569.46
416.88,947.47
218.15,137.21
109.14,240.43
124.16,915.12
303.54,48.845
865.51,726.09
703.58,203.59
961.12,605.82
951.68,884.96
458.45,834.78
538.77,384.21
88.067,660.29
914.95,303.35
357.76,526.58
542.52,546.98
628.44,203.76
644.78,489.76
350.72,865.22
733.34,669.28
815.58,440.42
1020.4,182.93
522.26,440.25
559.28,227.74
716.65,330.81
85.588,835.66
138.8,586.78
430.8,208.95
328.65,151.36
896.05,787.34
527.52,636.81
615.72,710.65
205.96,1009
794.66,459.69
282.61,263.2
714.72,202.69
662.97,183.25
572.33,140.22
752.84,605.73
964.07,1001.3
899.19,179.48
741.76,84.851
762.52,701.93
769.69,159.58
679.27,290.51
351.92,51.055
517.53,91.112
451.41,397.29
65.382,897.67
760.56,972.85
108.99,230.58
198.61,526.24
838.6,163.85
844.95,361.17
273.34,607.02
146.66,220.38
94.239,378.14
220.65,839.22
321.92,77.692
27.822,1021.4
794.44,852.9
310.38,345.4
305.96,589.75
282.44,512.54
556.5,426.7
485.99,27.687
780.04,350.84
967.01,410.87
159.72,751.72
809.79,947.97
67.813,261.22
981.92,606.4
537.27,767.98
216.38,975.77
52.063,764.88
273.36,42.449
85.107,310.98
808.24,123.38
201.14,151.64
419.15,402.96
114.52,733.37
834.04,604.7
353.78,959.52
932.67,694.41
199.27,481.39
576.14,1030.4
196.74,246.31
248.88,273.57
670.46,431.09
989.23,222.42
797.78,142.15
1001,268.84
652.99,309.98
588.74,456
841.38,253.49
414.6,359.48
833.98,548.5
344.85,923.5
569.94,940.21
932.84,471.93
669.86,452.57
137.04,1025.2
213.59,974.65
184.61,847.81
804.05,706.84
269.55,44.726
104.49,432.47
868.08,423.84
174.88,94.824
868.95,1030.4
601.27,425.92
516.84,434.27
118.26,951.6
113.92,1008
501.61,755.74
879.91,551.67
120.34,551.86
691.93,886.66
138.07,436.05
733.53,578.95
463.9,264.74
539.69,97.785
924.62,434.04
72.077,649.7
905.74,874.33
402.69,568.23
154.13,271.68
703.98,664.19
295.46,535.34
429.8,180.97
434.53,254.21
828.79,204.89
721.54,561.55
174.16,801.13
793.32,709.45
548.33,714.52
752.39,559.33
386.96,563.05
1030,335.95
548.58,990.11
817.91,139.72
40.585,680.46
288.59,890.84
729.52,774.63
